Label,Text
Sad,"hah, i, bet, a, man, did, make, heels, mi, sorry, you, hurt, though, i, hope, you, feel, better"
Sad,"u, never, sent, me, Ur, an, ass, hole, but, an, ass, hole, that, i, miss"
Sad,"i, feel, so, damaged, in, that, i, can, not, speak"
Sad,"i, can, safely, say, i, wo, an't, be, a, winner, this, week"
Sad,"i, miss, you, much"
Sad,"i, have, no, friends"
Sad,"i, m, aha, hah, you, and, Rachel, look, so, much, a, like"
Sad,"has, a"
Sad,"yeah, that, does, an't, sound, very, good"
Sad,"crappy, music, on, the, radio"
Sad,"no, their, playing, in, but, its, been, sold, out, for, months, mi, trying, to, go, to, the, Orlando, one, i, live, in, lo"
Sad,"it, s, not, the, so, much, as, the, and, lord, that, ll, put, ya, down, and, not, in, the, fun, way"
Sad,"sadly, can, not"
Sad,"i, don, t, feel, unwelcome, there"
Sad,"mi, so, bored, well, this, is, a, crappy, first, day, out, of, school"
Sad,"i, want, to, cry"
Sad,"left, so, sad, waiting, for, nom, to, come, home, want, to, have, johns, for, dinner"
Sad,"mi, sew, def, fo, missing, my, music, channels"
Sad,"great, i, ll, check, it, when, i, get, off, work, they, block, sims, at, work"
Sad,"my, Friday, feels, boring, too, no, time, for, fun, today, and, not, so, much, in, the, mood, for, it, either"
Sad,"i, have, to, take, 1, class, in, fall, its, cool, though, mi, okay, with, that"
Sad,"i, had, to, work, and, missed, it, could, barely, contain, herself, she, had, an, amazingly, good, time"
Sad,"sometimes, i, wish, i, had, my, hair, back"
Sad,"number, 13, gives, me, such, an, energy, rush, they, are, playing, a, festival, close, to, me, in, June, but, work, wo, an't, me, me, go"
Sad,"i, no, longer, feel, disadvantaged, by, my, and, the, fact, that, the, majority, of, gay, men, are, racist, and, font, wan, an, date"
Sad,"that, s, depressing"
Sad,"i, just, want, this, whole, day, to, hurry, up"
Sad,"unfair, i, wan, an, go, too"
Sad,"my, gaming, thingy, mine, finally, died, after, 5, years, rip"
Sad,"this, is, not, my, day"
Sad,"yea, baby, mi, nog, an, miss, you, so, much"
Sad,"crashing, from, my, high, missing"
Sad,"i, hate, being, sick, make, me, soup"
Sad,"so, screwed, for, sat, 2, us"
Sad,"the, sun, is, not, cool"
Sad,"i, do, not, want, to, feel, regretful, because, i, did, not, stop, you, from, smoking, before, so, much, damage, was, done"
Sad,"is, not, feeling, well, i, feel, soot, hate, ban, sick, in, the, summer"
Sad,"17, hours, left, of, being, a, and, ill, be, sleeping, for, of, those, hours, how, depressing"
Sad,"so, wanted, to, go, to, the, concert, tonight, so, so, so, wanted, to"
Sad,"i, miss, my, boo"
Sad,"after, bragging, about, kitten, my, cat, never, came, home, i, wan, an, throw, up"
Sad,"i, really, wanted, that, job"
Sad,"want, to, go, to, house, but, i, cant, be, bored, this, weekend, wan, an, spend, DA, tine, and, go, see, up, and, go, shopping"
Sad,"WWW, i, wish, i, could, but, i, have, no, talking, minutes"
Sad,"it, s, a, sad, day, for, beer, drinking, movie, the, theatres, are, no, more"
Sad,"not, in, a, good, mood, my, away, with, my, sis, so, ca, an't, talk, to, either, of, them, and, my, boy, ca, an't, see, me, this, weekend, as, planned"
Sad,"i, only, want, to, write, here, when, i, am, feeling, unhappy"
Sad,"man, i, fucked, up, that, test, playing, now, days, till, the, summer"
Sad,"is, stuck, in, some, long, ass, traffic, on, the, not, nog, an, get, home, until, after, i, m, so, tired"
Sad,"its, a, beautiful, night, mi, stuck, inside, feeling, ill, instead, of, being, a, ass, party"
Sad,"WWW, i, missed, it, twit, pic"
Sad,"i, am, watching, weeks, not, as, good, at, days"
Sad,"i, ca, an't, die, i, have, a, lunch, date, with, coming, up, plus, some, new, shoes, ugh"
Sad,"not, a, good, day, sigh"
Sad,"my, tummy"
Sad,"mission, the, guys, really"
Sad,"and, mi, just, going, into, work, if, we, were, married, we, wood, never, see, each, other"
Sad,"i, crave, as, i, fall, into, and, i, did, not, feel, submissive, in, the, least"
Sad,"i, feel, low, and, lost, and, lonely, on, a, grey, day"
Sad,"hag, i, m, and, upset, for, absolutely, no"
Sad,"rest, in, peace"
Sad,"i, forgot, to, put, something, on, that, is, very, essential, to, my, day"
Sad,"writing, in, make, me, wan, an, cry"
Sad,"again, and, on, Monday, as, well, absolutely, no, plans, for, the, weekend"
Sad,"darn, i, will, think, of, you, on, our, journey, so, it, s, like, you, are, really, there"
Sad,"oh, no, i, m, so, sorry, i, hope, you, re, back, on, the, bike, soon"
Sad,"is, locked, out, for, the, house, shit, thank, god, there, s"
Sad,"and, why, ca, an't, toy, story, come, out, this, June"
Sad,"damn, sorry, to, hear, that"
Sad,"i, feel, sorry, for, the, employees, but, if, this, is, the, way, CEO, its, best, if, the, chain, is, to, death, by, caring"
Sad,"quoit, m, roll, okay, i, gave, in, i, m, such, a, sucker"
Sad,"you, are, the, result, of, a, broken, condom"
Sad,"oh, lucky, u, i, need, to, send, mines, away, to, get, fixed"
Sad,"my, phone, is, so, you, d, think, it, had, my, or"
Sad,"i, m, giving, my, sis, a, show, at, my, crib, Sunday, she, s, an, incredible, jewellery, designer, but, you, ll, be, gone"
Sad,"just, watched, up, in, 3, that, movie, is, so, beautiful, but, so, sad, at, the, same, time"
Sad,"also, where, is, my, toy, story, 3, carmine, 14, you, said, there, would, be, toy, story, 3, movie, theatre, fail"
Sad,"is, making, be, a, sad, panda"
Sad,"TGIF, that, was, more, fun, when, i, had, a, job"
Sad,"i, m, at, work, starving"
Sad,"mi, feeling, depressed, anxious, and, despondent, thatch, all, i, seem, to, want, to, do"
Sad,"i, hate, the, internet, when, will, people, learn, widgets, are, always"
Sad,"man, it, s, two, o, clock, 2, more, hrs, till, i, have, to, be, at, work"
Sad,"is, a, no, show, for, lunch, eating, solo, at, noodles"
Sad,"dime, you, were, so, pretty, with, you, re, bangs, and, everything, you, look, too, grown, up, in, this, picture, i, liked, your, bangs"
Sad,"hi, is, anybody, else, having, problems, with, the, karma, site, it, s, not, working"
Sad,"i, wish, i, was, out, of, sadly, i, still, have, like, another, month, left"
Sad,"cool, i, m, tempted, too, see, it, again, i, feel, sorry, for, dib, though, because, there, were, hardly, any, people"
Sad,"that, sucks"
Sad,"happy, and, sad, may, her, soul, rest, in, peace"
Sad,"i, think, that, mowing, the, lawn, should, not, be, allowed, to, be, done, by, teenagers, it, sucks, well, off, to, mow"
Sad,"i, feel, like, this, week, these, photos, are, kind, of, boring, and"
Sad,"consider, yourself, lucky, it, has, an't, rained, here, in, ages, it, s, depressing"
Sad,"i, think, shopping, the, world, s, problems, if, only, i, did, an't, have, to, leave, tomorrow"
Sad,"had, to, spend, lunch, hits"
Sad,"very, you, re, feeling, that, way"
Sad,"i, wish, i, could, go, see, ya, at, for, sure, tho"
Sad,"feeling, really, dizzy, not, sew, good"
Sad,"from, to, at, least, sun, is, shining, but, lawn, looks, like, thrower, is, weekend, jobs"
Sad,"the, Japanese, exchange, student, is, the, cutest, thing, i, I've, ever, seen, seriously, hah, i, want, to, put, her, in, my, her, d"
Sad,"rain, finally, arriving, guess, this, means, we, ll, have, to, picnic, in, the, living, room, instead, of, at, bentonite"
Sad,"ii, do, an't, have, any, either"
Sad,"vie, been, feeling, a, bit, discontent, with, my, music, for, a, while, now"
Sad,"her, in, with, a, foot, massage"
Sad,"why, not, now, you, made, me, sad, i, thought, you, d, be, jumping, for, joy"
Sad,"getting, my, hair, him"
Sad,"o, cabana, de, the, pains, of, being, pure, at, heart, en, el, sound, life, is, not, fair"
Sad,"someone, does, an't, feel, good"
Sad,"and, i, are, playing, a, gig, at, the, life, party, outside, of, Austin, so, i, think, we, ll, have, to, the, bay, party, sadly"
Sad,"poor, the, pig"
Sad,"i, want, to, go, with, you, but, i, m"
Sad,"your, not, alone, mi, gutted, i, missed, the, convention, too"
Sad,"stupid, ruined, theatre, class, now, we, do, an't, get, to, play, games, for, the, rest, of, the, school, year"
Sad,"mi, confident, a, lot, of, people, who, feel, that, should, be, punished"
Sad,"lo, but, i, dint, have, enough, room, e"
Sad,"work, work, me, not, that, kind, orc"
Sad,"mi, having, a, bad, day"
Sad,"damn, was, about, to, call"
Sad,"i, got, a, text, from, this, guy, who, i, do, an't, like, and, who, has, the, same, name, as, the, guy, i, do, how"
Sad,"as, of, tomorrow, both, roomiest, will, be, gone"
Sad,"just, changed, my, car, tires, cost, me, a, bomb"
Sad,"i, wan, an, see, my, mama, but, she, has, an't, called, me, back, yet"
Sad,"all, done, cleaning, taking, a, my, back, hurts"
Sad,"wanted, to, take, a, photo, of, the, storm, but, misplaced, my, camera"
Sad,"mi, feeling, a, but, of, melancholy, today, a, bit, of, sadness, but, i, also, feel, that, the, sadness, is, OK"
Sad,"saying, good, bye, to, today, was, difficult, and, sad, well, miss"
Sad,"i, I've, just, realised, i, wo, an't, be, able, to, talk, to, any, of, you, crazy, cats, on, Sunday, is, sad, now"
Sad,"sitting, wondering, amp, wishing, for, a, bunch, of, stuff, that, will, never, be"
Sad,"i, wish, i, wo, an't, be, able, to, make, work, my, 2nd, gig, today"
Sad,"300, drive, within, feet, of, the, green, 2nd, time, playing, the, hole, so, does, an't, count, though, golf"
Sad,"we, had, a, local, pet, store, get, shut, down, last, for, something, like, horrible, what, some, animals, go, through"
Sad,"mi, really, sorry, i, know, how, u, feel, this, life, is"
Sad,"lunch, in, the, its, so, is, so, dead"
Sad,"no, and, fat, is, up, with, not, ne, today"
Sad,"yeah, that, did, an't, last, long"
Sad,"i, can, tell, you, exactly, what, is, wrong, at, this, very, moment, this, very, second, i, for, my, son, i, miss, my, son, i, feel, as, though, i, am, being, punished, and, living, in, a, hell, at, times"
Sad,"i, ordered, some, on, the, 8th, and, they, still, have, an't, arrived, 3, weeks, and, still, no, books"
Sad,"me, too, here, i, hate, total"
Sad,"work, has, really, sucked, the, past, 2, days, amp, now, my, meeting, on, got, to, 9, am, that, s, just, plain, need, a, new"
Sad,"sad, face, moment, of, the, day"
Sad,"sitting, in, an, almost, empty, dorm, waiting, for, Jordan, to, come, to, take, some, last, things, and, say, good, bye, he, graduates, tomorrow"
Sad,"wish, i, could, I've, gone, there, today, too, i, know, was, looking, forward, to, it"
Sad,"i, ca, an't, gravity, wo, an't, let, me"
Sad,"i, missed, mine, too, not, fun"
Sad,"not, too, i, did, get, some, bad, news, this, afternoon, i, got, stopped, by, the, police, lights, out, but, it, s, fine"
Sad,"had, a, relaxing, day, at, the, park, in, the, sun, back, to, work, tomorrow"
Sad,"i, kept, my, heart, open, and, exposed, while, watching, the, news, every, night, i, would, most, likely, never, recover, from, the, rush, of, helpless, and, hopeless, feelings, created, by, all, the, tragic, stories"
Sad,"oh, just, be, careful, on, the, road"
Sad,"my, friend, s, son, just, got, to, visit, daddy, after, 3, yrs, denied, cuss, daddy, lost, job, amp, could, not, pay, a, ton, of, support, kids, want, parents, not, e"
Sad,to
Sad,"there, s, only, one, more, cherry, dr, pepper, left, in, the, god, mi, addicted, to, that, stuff, but, it, does, sad, things, to, my, skin"
Sad,"so, mi, super, sick, w, a, fever"
Sad,"hey, waw, man, no, i, dint, ignore, you, i, just, font, have, mobile, web, so, i, can, only, text, i, can, see, you, unless, i, m, here, gt"
Sad,"i, am, so, hungry, and, there, is, no, food, for, me, to, steal"
Sad,"i, do, an't, feel, good"
Sad,"miss, u, we, need, have, a, catch, up, n, that"
Sad,"my, heart, hurts, too"
Sad,"i, feel, our, children, are, caught, up, in, these, unfortunate, situations, by, no, fault, of, their, own, and, they, so, deserve, to, have, a, voice, and, someone, to, be, there, just, for, them, and, their, best, interests"
Sad,"it, makes, me, want, to, cry, when, 2, grown, men, discuss, characters, on, all, my, children"
Sad,"looks, like, we, re, rained, out, for, weekend, climbing"
Sad,"excited, to, see, for, birthday, in, 2, weeks, sad, he, wont, have, a, party, BC, he, does, an't, know, any, kids, tho"
Sad,"looking, for, food, at, nothing"
Sad,"i, do, an't, wan, an, go, to, work"
Sad,"so, i, always, get, left, out"
Sad,"back, garden, times, my, feet, hurt"
Sad,"i, used, to, have, an, os, bourne, pillow, my, nom, threw, it, out, i, miss, that, thing"
Sad,"that, s, the, problem, the, earphones, i, get, here, do, an't, last, more, than, 2, months, no, matter, what, brand, or, price"
Sad,"my, phone, is, dead, and, my, charger, is, miles, away, i, ll, talk, to, you, in, august"
Sad,"i, made, it, to, work, but, i, am, feeling, a, little, groggy"
Sad,"i, feel, inadequate, in, those, moments, as, a, mamma"
Sad,yeah
Sad,"why, were, you, even, asking, others, then, you, should, have, been, enjoying, the, sadness, of, missing, it, like, me"
Sad,"i, really, am, going, to, miss, you"
Sad,"follow, cause, she, really, shop, there, even, though, she, do, an't, be, love, no, more"
Sad,"i, do, an't, seem, to, have, any, photos, of, me, and, my, grandma, together, for, tomorrow, it, is, heart, breaking"
Sad,"c, in, here, all, this, tech, in, my, room, does, have, the, major, of, a, lot, of, heat, does, an't, help, its, hot, outside, 2"
Sad,"well, done, guys, i, am, nog, an, miss, the, tweets"
Sad,"failed, inspection, did, you, know, you, can, pass, but, not, bracket, which, is, only, sold, this, is, worse, than, taxes"
Sad,"battery, is, going, to, die"
Sad,"it, does, an't, work, with, the, iPhone, yet, i, love, it, for, the, but, i, need, to, be, able, to, sort, tasks, on, my, iPhone, to, be, useful"
Sad,"i, am, not, going, to, get, into, Saturday, night, all, mi, going, to, say, is, i, once, again, went, home, sat, with, billy, for, a, bit, then, went, to, bed, feeling, alone, wasted, not, in, the, good, way, and, abandoned"
Sad,"disappointed, the, dint, win, the, glasses"
Sad,"off, to, the, porn, store, i, forgot, to, put, Dave, in, my, iPod, fail"
Sad,"well, rite, i, gt, a, headache"
Sad,"sorry, to, disappoint"
Sad,"this, has, really, got, me, down"
Sad,"ugh, amp, dint, hit, me, up, OK, lo, j, what, were, u, foin, here"
Sad,"i, want, my, face, to, be, a, drawing, of, David, or, i, want, a, theme, his, theme, mi, so, such, a, big"
Sad,"i, am, tired"
Sad,"i, m, wishing, i, was, outside, instead, of, trapped, in, my, office"
Sad,"i, my, favourite, hubby, said, he, d, buy, me, a, new, one, i, practically, lived, in, it, and, it, s, gone, i, shall, say, a, few, words"
Sad,"i, literally, fell, on, my, knees, during, one, episode, which, feels, so, pathetic"
Sad,"sad, thing, is, that, i, wanted, to, work, there, for, years, it, was, my, dream, job, was, crushed, when, i, saw, how, crappy, it, was, still, bitter"
Sad,"yep, in, another, hours, it, ll, be"
Sad,"me, too, i, was, in, Florida, last, weekend, for, the, rain, came, back, home, to, rain, terrible"
Sad,"my, joy, cos, i, m, so, tired, tired, of, me, inspire, the, weary, to, see, the, and"
Sad,"officially, misses, huh, i, had, no, heart, hand, partner, and, no, one, to, dance, with, tonight, come, home, so"
Sad,"your, missing, qualifying, i, think, David, is, leading, with, a"
Sad,"have, a, good, time, sadly, that, means, i, m, probably, nog, an, have, rain"
Sad,"for, to, come, online, i, miss, him"
Sad,"ugh, i, am, soot, drag, today, but, on, a, brighter, note, i, got, my, update, amp, it, is, the"
Sad,"haven, been, on, here, in, ages, sorry, twitter, tweet, deck, is, broken"
Sad,"i, feel, alone, so, by, my, core, beliefs, that, are, shared, by, a, tiny, percentage, of, the, u"
Sad,"small, children, are, not, puppies, and, sarcasm, is, so, annoying, but, then, again, that, s, too"
Sad,"no, one, to, go, see, with"
Sad,"watching, dr, special, on, marriage, it, s, sad, how, ignorant, some, people, are"
Sad,"this, sucks, schools, over, and, there, is, nothing, to, do"
Sad,"i, feel, like, a, fish, mi, in, a, big, glass, car, looking, out, to, a, world, of, people, walking, by, having, fun, in, the, sun, and, mi, stuck, here"
Sad,"i, m, at, out, of, my, mind"
Sad,"why, did, i, today, i, look, like, a, i, feel, like, someones, burning, me, alive"
Sad,"can, only, walk, on, streets, as, am, in, London, fields"
Sad,"no, this, week"
Sad,"why, does, flick, no, longer, recognize, my, email, i, ca, an't, log, in"
Sad,"i, have, different, ways, for, people, to, notice, me, but, i, feel, fake, doing, them, because, none, of, it, is, myself"
Sad,"oh, no, do, an't, follow, me, anymore, need, someone, to, cheer, me, up"
Sad,"last, day, of, work, taking, myself, off, of, all, these, shared, actually, kinda, getting, to, me"
Sad,"WWW, that, s, sad"
Sad,"sad, nothing"
Sad,"mi, very, and, a, great, evening"
Sad,"would, love, to, say, but, working, at, am, tomorrow"
Sad,"mad, traffic"
Sad,"is, working, until, 11, tonight"
Sad,"but, i, font, mind, the, long, line, when, theirs, a, super, cutie, in, front, of, me, too, bad, he, s, wearing, a, gay, with, a, girls, name, on, it"
Sad,"loved, the, sun, today, did, not, love, a, black, suit, and, black, top, plus, 6, to, get, to, my, meeting, and, back, need, to, shop, for, summer"
Sad,"i, feel, low, not, coz, of, the, situations, distance, or, the, person, but, its, that, one, thing, that, hurts, you, and, makes, you, feel, responsible, for, what, i, have, done, to, myself"
Sad,"cook, is, at, the, sports, tonight, wish, i, had, tickets"
Sad,"what, the, it, s, only, oh, my, god, my, internal, clock, really, is, fucked, up, noon"
Sad,"i, m, nog, an, cry, i, went, bad, at, my, history, test, i, really, hate, history"
Sad,"beta, 5, of, 30, expired, today, back, on, until, the, public, release, i, miss, it, already"
Sad,"so, Chicago, is, pretty, much, sold, out, of, now"
Sad,"wow, i, am, really, mission, the, today"
Sad,"really, am, sorry, was, looking, forward, to, it, thought, its, be, fun, and, u, wanted, to, hear, u, a, beer"
Sad,"i, miss, my, good, thing, we, I've, got, a, euphoria, in, cause, i, would, never, survive, summer, without, my, pitas, and"
Sad,"mog, Taylor, and, Selena, broke, up, sou, sad, aw, i, think, i, actually, like, Selena, now, poor, gal"
Sad,"friend, got, this, morning"
Sad,"i, feel, guilty, for, not, having, made, any, blog, entries, for, months"
Sad,"family, comes, probably, wo, an't, be, on, this, weekend"
Sad,"she, said, no, not, to, tine, x"
Sad,"house, hunting, was, a, pain, house, is, a, super, packing, never, seems, to, end, i, ca, an't, even, imagine, p"
Sad,"another, Friday, night, in, man, being, skint, is, rubbish"
Sad,"hah, because, i, m, at, and, ca, an't, read, anything"
Sad,"god, i, ll, miss, my, bf, so, much, it, s, only, 2, months, now"
Sad,"i, knew, listening, to, limey, Cyrus, in, the, morning, was, a, bad, idea"
Sad,"mog, in, is, dead, gutted, loved, Lexington, and, really, wanted, and, to, get, together"
Sad,"i, do, an't, have, twitter, on, my, phone, it, s, sad"
Sad,"WWW, my, daddy, got, in, a, car, accident, pray, for, him, he, s, up, a, ill"
Sad,"i, feel, as, though, i, have, a, blank, canvas, and, can, pick, any, theme, i, want"
Sad,"just, found, out, one, of, my, coworkers, that, i, actually, like, is, leaving"
Sad,"i, wish, i, was, outside, thatch, the, only, thing, thatch, nog, an, kill, me, about, work, all, day, everyday, during, the, summer"
Sad,"it, was, actually, so, hot, today, sun, has, got, his, hat, on, every, one, has, got, a, tan, except, me"
Sad,"waw, no, which, one"
Sad,"miler, that, i, ca, an't, vote, i, would, love, to, vote, but, it, does, an't, works, i, m, sad, and, very"
Sad,"i, wont, be, taking, my, test, until"
Sad,"my, husband, is, loosing, his, job, due, to, is, looking, for, a, new, job, but, ca, an't, find, one, in, our, small, town"
Sad,"yea, us, 3, and, max, poor"
Sad,"nog, an, miss, my, furl, while, shes, on, her"
Sad,"have, somebody, installed, server, 4, on, windows, 2008, w, is, not, in, the, matrix"
Sad,"i, honestly, feel, so, unhappy, with, everything, in, my, life, and, it, inst, simple, enough, for, me, to, be, able, to, change, these, things, that, are, making, me, feel, so, unhappy, with, a, click, of, the, finger"
Sad,"so, hyped, about, i, wish, i, could, go"
Sad,"still, hurting, from, the, spanking"
Sad,"she, s, the, manageress, 2nd, bad, job, from, her, i, can, never, find, a, good, place, beyond, 1, or, 2, cuts"
Sad,"very, interested, however, low, for, the, next, month, means, no, beer, for, me"
Sad,"fun, times, just, broke, my, USB, like, literally, broke, it"
Sad,"i, plans, no, one, can, hang, out, tomorrow, boo"
Sad,"mi, suffering, having, no, hair, e, sitting, in, sunshine, v, v, bad, sunburn"
Sad,"hah, waw, OK, now, back, to, expansion, ugh, joy"
Sad,"would, like, to, sitting, with, 3"
Sad,"is, making, cupcakes, and, says, i, ca, an't, have, any, you, re, a, bad, sister"
Sad,"i, am, feeling, melancholy, i, ll, embrace, it, and, listen, to, some, slow, melancholic, pop"
Sad,"nice, days, like, this, make, me, miss"
Sad,"yes, i, do, and, i, m, still, almost, at, my, storage, ceiling, i, am, being, forced, to, delete, or, buy, more, space"
Sad,"nom, just, woke, me, and, i, am, so, mad, i, was, dreaming, about, shoes, she, me, to, go, to, the, river, it, is, so, stupid"
Sad,"hey, you, did, you, ever, your, sims, 3, i, m, so, sad, mi, too, poor, to, get, it, right, now"
Sad,"i, hate, car, places"
Sad,"work, mind, in, the, i, m, sitting, here, foin, this, student, loan, thing"
Sad,"so, avens, they, sound, really, bad, so, out, of, tune"
Sad,"i, tried, to, help"
Sad,"sew, sick, i, hate, my, life"
Sad,"i, dedicated, that, song, to, my, when, i, sold, it"
Sad,"mi, starting, to, feel, unwelcome, in, life, and, some, people, can, already, tell, this"
Sad,"i, came, to, this, realization, that, i, was, often, feeling, blamed, or, being, blamed, for, things, that, were, utterly, outside, of, my, control"
Sad,"well, looks, like, is, out"
Sad,"pack, of, goat, cheese, me, in, the, face, starving, din, not, til, 6"
Sad,"editing, video, in, the, van, i, m, a, little, hungry, and, depressed, that, i, did, an't, see, up, yet"
Sad,"Friday, night, and, working"
Sad,"tried, to, join, the, chat, but, the, site, would, not, let, me, sign, in"
Sad,"just, lost, internet, and, i, was, in, a, for, 25"
Sad,"comp, mental, health, would, an't, take, me, rogers, centre, in, the, city, gave, me, app, on, June, 8th, i, have, 2, days, worth, of, pills, left, Lt"
Sad,"was, it, for, the, i, guess, so, also, wan, an, go, to, London, in, June, for, dime, concert, but, no, one, s, going, with, me"
Sad,"is, having, a, day, looking, forward, to, be, a, great, day, sad, too, because, it, s, the, 5th, last, day"
Sad,"i, sorry, me, no, like, when, people, i, like, do, an't, feel, well, your, tummy"
Sad,"i, have, been, feeling, so, bad, that, he, has, to, be, and, deal, with, teenagers, all, week"
Sad,"still, freaking, out, about, missing, the"
Sad,shopping
Sad,"i, sometimes, feel, like, the, only, person, in, the, world, without, an, iPhone"
Sad,"i, burnt, my, arm, just, thought, you, should"
Sad,"twitter, is, right, now, with, my, pic"
Sad,"have, fun, without, mere, i, m, going, to, you"
Sad,"my, got, a, battery, guess, we, re, kinda, in, the, same, boat, huh"
Sad,"got, ta, work, lonely, weekend, ahead"
Sad,"because, your, mean, to, me, and, it, makes, me, sad"
Sad,"i, dint, get, paid, this, week, roll, on, Tuesday"
Sad,"i, hate, the, feeling, of, being, disliked, and, it, seems, as, though, its, very, common, for, me"
Sad,"unfortunately, not"
Sad,"hey, sorry, i, just, got, the, tweet, about, the, and, someone, already, got, it"
Sad,"i, m, dreading, hearing, even, worse, news, tonight"
Sad,"see, wat, i, mean, bout, Fridays, it, s, called, lose, Friday, sh"
Sad,"in, Washingtonian, soot, miss"
Sad,"sorry, to, hear, that"
Sad,"why, am, i, not, at, hometown, days, with, my, friends"
Sad,"mi, sorry, i, fail"
Sad,"it, wo, an't, let, me, vote, i, want, her, to, win, but, i, ca, an't, help, i, am, nog, an, jump, off, a, bridge, but, this, aux"
Sad,"i, miss, u"
Sad,"i, feel, miserable, after, my, break, up, self"
Sad,"so, friends"
Sad,"its, e, really, bad"
Sad,"of, course, it, rains, five, minutes, after, i, finish, the, flowers, it, took, me, half, an, hour, to, water, all, of, them, too"
